Organization short name,Organization long name,Country,Partner,Type
Vodafone Italia SpA,Vodafone Italia SpA,ITALY,ETSI,INDIVIDUAL MEMBERS
Vodafone Romania S.A.,Vodafone Romania S.A.,ROMANIA,ETSI,INDIVIDUAL MEMBERS
Vodafone Telekomünikasyon A.S.,Vodafone Telekomünikasyon A.S.,TÜRKIYE,ETSI,INDIVIDUAL MEMBERS
VoiceAge Corporation,VoiceAge Corporation,CANADA,ETSI,INDIVIDUAL MEMBERS
Volkswagen AG,Volkswagen AG,GERMANY,ETSI,INDIVIDUAL MEMBERS
VSENS,Unicom Vsens Telecommunications Co.  Ltd,CHINA,CCSA,INDIVIDUAL MEMBERS
VTT,VTT Technical Research Centre of Finland,FINLAND,ETSI,INDIVIDUAL MEMBERS
WE Certification Oy,WE Certification Oy,FINLAND,ETSI,INDIVIDUAL MEMBERS
Wiliot Ltd.,Wiliot Ltd.,ISRAEL,ETSI,INDIVIDUAL MEMBERS
WILUS Inc.,WILUS Inc.,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Wipro,Wipro Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
Wipro GE,Wipro GE Healthcare Private Limited,INDIA,TSDSI,INDIVIDUAL MEMBERS
Wisig Networks Pvt Ltd,Wisig Networks Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
Wuhan Hongxin Technology,Wuhan Hongxin Technology Development Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
XGN,XGen Network LLC,UNITED STATES,ETSI,INDIVIDUAL MEMBERS
Xiamen Sanan Integr. Circuit,Xiamen Sanan Integrated Circuit Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Xiaomi Communications,Xiaomi Communications,CHINA,CCSA,INDIVIDUAL MEMBERS
Xiaomi Digital Technology,Beijing Xiaomi Digital Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Xiaomi Electronic Software,Beijing Xiaomi Electronic Software Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Xiaomi EV Technology,Xiaomi EV Technology Co.  Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
Xiaomi Technology,Xiaomi Technology,CHINA,CCSA,INDIVIDUAL MEMBERS
Xiaomi Technology (Polska) sp.,XIAOMI TECHNOLOGY (POLSKA) SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA,POLAND,ETSI,INDIVIDUAL MEMBERS
Xiaomi Technology France,Xiaomi Technology France,FRANCE,ETSI,INDIVIDUAL MEMBERS
Xiaomi Technology Germany GmbH,Xiaomi Technology Germany GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
Xiaomi Technology Italy srl,Xiaomi Technology Italy srl,ITALY,ETSI,INDIVIDUAL MEMBERS
Xiaomi Technology Netherlands,Xiaomi Technology Netherlands B.V.,NETHERLANDS,ETSI,INDIVIDUAL MEMBERS
Xiaomi Technology Spain S.L,Xiaomi Technology Spain S.L,SPAIN,ETSI,INDIVIDUAL MEMBERS
Xiaomi Technology UK Limited,Xiaomi Technology UK Limited,UNITED KINGDOM,ETSI,INDIVIDUAL MEMBERS
Xidian University,Xidian University,CHINA,CCSA,INDIVIDUAL MEMBERS
Xilinx Ireland,Xilinx Ireland,IRELAND,ETSI,INDIVIDUAL MEMBERS
XNET,ZGC Institute of Ubiquitous-X Innovation and Applications,CHINA,ETSI,INDIVIDUAL MEMBERS
X-Net,ZGC Institute of Ubiquitous-X Innovation and Applications,CHINA,CCSA,INDIVIDUAL MEMBERS
Yonsei University,Yonsei University,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
Zhejiang University,Zhejiang University,CHINA,CCSA,INDIVIDUAL MEMBERS
ZITiS,Central Office for Information Technology in the Security Sector,GERMANY,ETSI,INDIVIDUAL MEMBERS
Zollkriminalamt (ZKA),Zollkriminalamt (ZKA),GERMANY,ETSI,INDIVIDUAL MEMBERS
ZONSON,ZONSON SAMRT AUTO CORPORATION,CHINA,CCSA,INDIVIDUAL MEMBERS
ZTE,ZTE Telecom India Pvt Ltd,INDIA,TSDSI,INDIVIDUAL MEMBERS
ZTE  Corporation,ZTE Corporation,CHINA,CCSA,INDIVIDUAL MEMBERS
ZTE Corporation,ZTE Corporation,CHINA,ETSI,INDIVIDUAL MEMBERS
ZTE Deutschland,ZTE Deutschland GmbH,GERMANY,ETSI,INDIVIDUAL MEMBERS
ZTE FRANCE SASU,ZTE FRANCE SASU,FRANCE,ETSI,INDIVIDUAL MEMBERS
ZTE Italia,ZTE Italia S.R.L,ITALY,ETSI,INDIVIDUAL MEMBERS
ZTE JAPAN K.K.,ZTE JAPAN K.K..,JAPAN,TTC,INDIVIDUAL MEMBERS
ZTE Japan K.K.,ZTE Japan K.K.,JAPAN,ARIB,INDIVIDUAL MEMBERS
ZTE Korea Limited,ZTE Korea Limited,KOREA (REPUBLIC OF),TTA,INDIVIDUAL MEMBERS
ZTE Photonics,ZTE Photonics Technology Co. Ltd.,CHINA,CCSA,INDIVIDUAL MEMBERS
ZXNE,ZXNE CORPORATION,CHINA,CCSA,INDIVIDUAL MEMBERS
4G Americas,4G Americas,UNITED STATES,OTHER,MARKET REPRESENTATIVES
5G Americas,5G Americas,UNITED STATES,OTHER,MARKET REPRESENTATIVES
5G MAG,5G Media Action Group,SWITZERLAND,OTHER,MARKET REPRESENTATIVES
5GAA,5G Automotive Association,GERMANY,OTHER,MARKET REPRESENTATIVES
5G-ACIA,5G-ACIA,GERMANY,OTHER,MARKET REPRESENTATIVES
5GDNA,5G Deterministic Networking Alliance,CHINA,OTHER,MARKET REPRESENTATIVES
5GSA,5G Slicing Association,CHINA,OTHER,MARKET REPRESENTATIVES
6G-IA,6G Smart Networks and Services Industry Association,BELGIUM,ETSI,MARKET REPRESENTATIVES
AECC,Automotive Edge Computing Consortium,UNITED STATES,OTHER,MARKET REPRESENTATIVES
BIF,Broadband India Forum,INDIA,TSDSI,MARKET REPRESENTATIVES
COAI,Cellular Operators Association of India (COAI),INDIA,OTHER,MARKET REPRESENTATIVES
CSAE,China Society of Automotive Engineers,CHINA,OTHER,MARKET REPRESENTATIVES
CTIA,CTIA,UNITED STATES,OTHER,MARKET REPRESENTATIVES
GCF,Global Certification Forum,UNITED KINGDOM,OTHER,MARKET REPRESENTATIVES
GSA,Globile Mobile Suppliers Association,UNITED KINGDOM,OTHER,MARKET REPRESENTATIVES
GSM Association,GSM MoU Association,UNITED KINGDOM,OTHER,MARKET REPRESENTATIVES
GSOA,GSOA,BELGIUM,OTHER,MARKET REPRESENTATIVES
IPV6 Forum,IPV6 Forum,UNITED KINGDOM,OTHER,MARKET REPRESENTATIVES
MFA,MulteFire Alliance,UNITED STATES,OTHER,MARKET REPRESENTATIVES
NGMN Alliance e.V.,NGMN Alliance e.V.,GERMANY,OTHER,MARKET REPRESENTATIVES
PSCE,Public Safety Communication Europe Forum,BELGIUM,OTHER,MARKET REPRESENTATIVES
SAA,Seamless Air Alliance,UNITED STATES,OTHER,MARKET REPRESENTATIVES
SIA-India,SatCom Industry Association India,INDIA,OTHER,MARKET REPRESENTATIVES
Small Cell Forum,Small Cell Forum,UNITED KINGDOM,OTHER,MARKET REPRESENTATIVES
TCCA,The Critical Communication Association,UNITED KINGDOM,OTHER,MARKET REPRESENTATIVES
TDIA,Telecommunication Development Industry Alliance,CHINA,OTHER,MARKET REPRESENTATIVES
WBA,Wireless Broadband Alliance Ltd.,SINGAPORE,OTHER,MARKET REPRESENTATIVES
COMMUNICATIONS ALLIANCE LTD,COMMUNICATIONS ALLIANCE LTD,AUSTRALIA,OTHER,OBSERVERS
TIA,TIA,UNITED STATES,OTHER,OBSERVERS
AKMON SA,AKMON SA,GREECE,ETSI,GUESTS
BC Hydro,BC Hydro,CANADA,ETSI,GUESTS
beeNEO,beeNEO,TÜRKIYE,ETSI,GUESTS
iSignal Research Labs Pvt Ltd,iSignal Research Labs Pvt Ltd,INDIA,ETSI,GUESTS
KEEP ELECTRONIC SIMPLE Ltda,KES - KEEP ELECTRONIC SIMPLE LTDA,BRAZIL,ETSI,GUESTS
Millibeam,Millibeam,AUSTRALIA,ETSI,GUESTS
Mitresense Ltd,Mitresense Ltd,UNITED KINGDOM,ETSI,GUESTS
MTC,Ministerio de Transportes y Comunicaciones,PERU,ETSI,GUESTS
NIT DELHI,NATIONAL INSTITUTE OF TECHNOLOGY DELHI,INDIA,ATIS,GUESTS
NTI,National Telecommunications Institute,EGYPT,ETSI,GUESTS
OptimusLogic Systems India,OptimusLogic Systems India Private Limited,INDIA,TSDSI,GUESTS
QNu Labs,QNu Labs,INDIA,TSDSI,GUESTS
RPTU,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,GERMANY,ETSI,GUESTS
Sunway Communication Inc.,Sunway Communication Inc.,UNITED STATES,ETSI,GUESTS
Techtown LLC,Techtown LLC,TÜRKIYE,ETSI,GUESTS
TOMIA,TOMIA,ISRAEL,ETSI,GUESTS
Trend Micro,Trend Micro,IRELAND,ETSI,GUESTS
Zhuhai Bojay Electronics,ZHUHAI BOJAY ELECTRONICS COMPANY LIMITED,CHINA,ETSI,GUESTS
